High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
-1.972263367,-1.984039411,-0.07493527,-1.966181467,-1.929425486,-1.927369079,-1.941546885,-1.950917433,1.649809593,0.909009611,-0.317959837,0.304851205,-0.999024195,-0.607295465,1
-1.957370486,-1.940047062,-0.978432068,-1.918985564,-1.961798574,-1.92650095,-1.933938685,-1.946081861,1.674879601,0.926695379,-0.525953637,0.171937101,-1.041068399,-0.618537124,1
-1.905220398,-1.880828289,-0.452603805,-1.892277764,-1.914346858,-1.928083064,-1.920994964,-1.941415969,1.699949609,0.940591565,-0.625676692,-0.674459917,-1.094578913,-0.675342898,1
-1.83205684,-1.843774797,-0.164179109,-1.800102781,-1.887850909,-1.895244806,-1.906443689,-1.936275798,1.750089625,0.955750777,-0.762439739,-0.942946408,-1.106045989,-0.603318322,1
-1.792149119,-1.759162768,-0.2495978,-1.77291301,-1.795741378,-1.863033623,-1.894041696,-1.930342148,1.850369657,0.92164214,-0.7966305,-0.828108622,-1.033424403,-0.642912466,0
-1.811668778,-1.789037426,-0.519457593,-1.794703427,-1.768907876,-1.828719473,-1.882154192,-1.924719287,1.850369657,0.847108982,-0.847916643,0.830659403,-1.047439223,-0.628387082,0
-1.833165288,-1.922459653,1.571200837,-1.970616878,-1.790394081,-1.839051319,-1.876679229,-1.919432916,1.775159633,0.75236312,0.636532259,-0.259236254,-1.019409584,-0.450512146,1
-1.898183743,-1.92207439,0.125367248,-1.863545575,-1.966134395,-1.833301775,-1.86876651,-1.913793441,1.800229641,0.776365278,-0.306562917,0.95134541,-1.021957328,-0.343766784,0
-1.901943297,-1.963850446,0.981869385,-1.972304062,-1.859139123,-1.867760653,-1.866807964,-1.90891644,1.875439665,0.710674688,0.419990768,1.559028696,-1.072919971,-0.157632756,0
-1.999253878,-2.000759246,0.464884977,-2.022441216,-1.96772394,-1.917693279,-1.866783923,-1.904207574,1.850369657,0.762469345,0.719159648,1.154438161,-0.9595285,-0.066606528,1
-1.991975999,-1.984521139,0.003379578,-1.956684496,-2.017921932,-1.950107009,-1.865022514,-1.89993023,1.825299649,0.746046603,-0.018790673,1.111373992,-0.914936553,-0.022933212,1
-1.945416996,-1.942167482,-0.845040859,-1.921733199,-1.952211906,-1.940324986,-1.86320822,-1.895566493,1.699949609,0.780155113,-0.184046021,0.583970825,-0.899647416,0.035464642,1
-1.877796273,-1.873215372,-0.003407901,-1.843249318,-1.917285427,-1.936263538,-1.859592431,-1.891030634,1.649809593,0.786471377,-0.443325963,0.806734864,-0.860151721,-0.010197841,1
-1.861312497,-1.80912993,0.04417635,-1.843201062,-1.838857278,-1.910428976,-1.855375616,-1.886351895,1.674879601,0.849635285,-0.406285972,0.675415729,-0.82702583,-0.038849073,1
-1.81484998,-1.7940482,0.490453063,-1.812492153,-1.838134541,-1.868416463,-1.85046482,-1.881246285,1.699949609,0.905219651,-0.403436741,1.009827616,-0.834670845,-0.104806523,0
-1.847913436,-1.800649434,-0.530487245,-1.826569301,-1.808121953,-1.842379353,-1.847418011,-1.876156181,1.699949609,0.888797161,-0.406285972,0.654681128,-0.769693381,-0.166684829,1
-1.795522717,-1.777617755,-0.972564925,-1.77175605,-1.821707476,-1.812367704,-1.842143393,-1.870570757,1.950649689,0.933011644,-0.37779367,0.671162477,-0.829574466,-0.152358611,1
-1.791088918,-1.757572896,0.255321577,-1.752665598,-1.767559439,-1.794241161,-1.834855746,-1.864897168,1.975719697,0.895113425,-0.431929043,1.580826609,-0.823203769,-0.245773553,0
-1.791184816,-1.782724994,-0.053494316,-1.82435189,-1.748433733,-1.79046929,-1.829348737,-1.859404783,1.925579681,0.824369975,-0.155553719,1.096487612,-0.773515443,-0.19493775,1
-1.786124425,-1.775545567,-0.288424478,-1.752569084,-1.819635714,-1.778478194,-1.823117287,-1.854070342,2.000789705,0.924168823,-0.411984432,0.577590948,-0.830847891,-0.170066922,1
-1.690404151,-1.704088366,0.052329952,-1.67143349,-1.748193212,-1.747434258,-1.812119289,-1.848293524,2.050929721,0.969646837,-0.622827462,0.650959534,-0.843589285,-0.326255181,1
-1.684089987,-1.624054208,-0.72660511,-1.656585427,-1.6672599,-1.724387679,-1.802405094,-1.842670663,1.938114685,0.979753062,-0.676962835,0.403739299,-0.787530262,-0.499653848,1
-1.653918273,-1.612345147,-0.370923979,-1.615801067,-1.652084827,-1.696999972,-1.790501545,-1.837062205,1.825299649,0.968383559,-0.628525922,0.22403943,-0.851233408,-0.71344331,1
-1.621384923,-1.583145731,-0.018435263,-1.583356718,-1.611618758,-1.648774876,-1.779455479,-1.831387287,1.850369657,1.001228791,-0.676962835,0.630224933,-0.931498989,-0.795714961,0
-1.61063696,-1.581266468,-0.158355107,-1.61237785,-1.579149225,-1.620721466,-1.769226791,-1.825538918,1.850369657,0.98101634,-0.543049018,0.404270956,-0.884359298,-0.84117829,1
