Date,High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
5/1/2013,1597.550049,1581.280029,3530320000,1582.699951,1597.550049,1588.255981,1568.234989,1461.646098,2.18,21.110001,14.49,24.31,84.25,17.43998514,1
5/2/2013,1598.599976,1582.77002,3366950000,1597.589966,1582.77002,1590.741968,1569.530989,1462.850148,2.21,21.9,13.59,14.55,83.800003,17.61855664,1
5/3/2013,1618.459961,1597.599976,3603910000,1614.420044,1597.599976,1597.177978,1571.818323,1464.154048,2.23,22.26,12.85,15.93,83.699997,16.4971315,1
5/6/2013,1619.77002,1614.209961,3062240000,1617.5,1614.400024,1601.955981,1573.838655,1465.423198,2.185,22.34,12.66,11.28,84.139999,15.25213636,1
5/7/2013,1626.030029,1616.640015,3309580000,1625.959961,1617.550049,1607.633984,1576.314323,1466.689097,2.14,22.25,12.83,7.9,83.639999,13.717137,1
5/8/2013,1632.780029,1622.699951,3554700000,1632.689941,1625.949951,1617.631982,1578.611654,1467.969997,2.15,22.51,12.66,15.54,83.010002,13.12643,0
5/9/2013,1635.01001,1623.089966,3457400000,1626.670044,1632.689941,1623.447998,1580.738989,1469.290047,2.15,22.35,13.13,11.29,83.379997,12.80000521,1
5/10/2013,1633.699951,1623.709961,3086470000,1633.699951,1626.689941,1627.303979,1582.889323,1470.705947,2.14,22.370001,12.59,13.95,82.68,12.27356821,1
5/13/2013,1636,1626.73999,2910600000,1633.77002,1632.099976,1630.557983,1585.275989,1472.183246,2.2,22.129999,12.55,1.15,82.769997,11.71500064,1
5/14/2013,1651.099976,1633.75,3457790000,1650.339966,1633.75,1635.433984,1587.945654,1473.745496,2.18,21.92,12.77,-4.9,82.57,12.44000243,1
5/15/2013,1661.48999,1646.680054,3657440000,1658.780029,1649.130005,1640.652002,1591.448657,1475.239296,2.17,21.98,12.81,2.7,81.519997,12.508571,0
5/16/2013,1660.51001,1648.599976,3513130000,1650.469971,1658.069946,1645.411987,1594.46499,1476.561796,2.16,22.16,13.07,-13.33,81.690002,12.772147,1
5/17/2013,1667.469971,1652.449951,3440710000,1667.469971,1652.449951,1652.165991,1598.271322,1477.972646,2.16,22.379999,12.45,-13.06,81.650002,12.95714457,0
5/20/2013,1672.839966,1663.52002,3275080000,1666.290039,1665.709961,1658.669995,1601.711991,1479.407496,2.18,22.540001,13.02,-18.2,81.059998,12.83214457,1
5/21/2013,1674.930054,1662.670044,3513560000,1669.160034,1666.199951,1662.434009,1605.06366,1480.876697,2.15,22.33,13.37,-8.46,80.959999,12.54429407,0
